27,12 
27,10 
27,9 
25,10 
28,9 
27,12 
26,10 
28,10 
28,12 
27,10 
27,10 
27,10 
27,9 
28,10 
27,9 
27,10 
26,11 
27,9 
28,11 
27,11 
26,12 
27,10 
27,10 
26,9 
26,10 
27,10 
27,11 
27,10 
26,8 
27,10 
27,11 
27,9 
26,11 
27,11 
27,9 
27,11 
27,11 
27,10 
27,11 
25,11 
27,12 
29,8 
25,10 
25,12 
26,10 
27,10 
27,11 
26,11 
27,10 
27,10 
27,11 
28,11 
25,11 
29,10 
27,10 
27,8 
27,11 
25,12 
27,10 
28,10 
26,10 
27,11 
28,10 
27,11 
28,10 
27,9 
27,11 
27,10 
27,11 
26,8 
26,11 
27,11 
28,9 
27,10 
26,8 
27,10 
27,8 
26,12 
26,8 
27,10 
25,10 
27,11 
26,12 
27,11 
27,11 
27,10 
27,12 
26,10 
27,10 
27,10 
27,10 
27,11 
28,9 
27,12 
27,11 
27,12 
27,9 
28,11 
27,9 
27,13 
26,10 
27,10 
25,13 
25,9 
26,10 
27,11 
27,10 
27,11 
24,11 
28,11 
27,9 
26,10 
27,8 
28,10 
27,9 
28,8 
27,12 
25,11 
27,10 
27,10 
27,9 
27,11 
27,12 
27,9 
27,10 
28,8 
26,9 
26,12 
28,11 
28,11 
27,13 
27,10 
27,9 
26,9 
27,10 
27,10 
26,9 
27,9 
27,10 
26,10 
27,10 
27,10 
27,9 
27,12 
26,11 
27,9 
27,10 
26,9 
27,10 
26,12 
26,10 
27,9 
26,11 
30,9 
27,11 
27,7 
27,8 
27,9 
27,9 
27,12 
26,11 
27,9 
24,10 
24,10 
27,9 
27,11 
27,9 
29,10 
27,11 
27,7 
25,10 
24,10 
27,10 
27,11 
27,11 
27,12 
25,11 
30,11 
28,9 
27,11 
27,10 
27,9 
27,9 
28,9 
27,11 
28,10 
26,12 
27,9 
26,9 
27,11 
27,12 
27,11 
27,9 
28,9 
27,10 
27,11 
28,8 
27,8 
27,11 
27,10 
27,9 
27,10 
27,9 
27,9 
27,11 
27,12 
26,8 
27,10 
27,9 
27,9 
27,9 
26,10 
26,10 
27,12 
27,11 
27,10 
25,10 
27,13 
27,9 
27,7 
27,10 
27,10 
27,10 
27,11 
27,10 
26,12 
29,10 
26,9 
25,10 
27,10 
27,10 
27,8 
27,9 
25,8 
28,11 
24,9 
27,10 
28,12 
27,10 
25,9 
30,11 
28,10 
28,9 
26,10 
27,11 
27,11 
27,11 
27,8 
27,12 
27,12 
27,11 
28,9 
28,11 
26,11 
27,11 
27,12 
27,9 
28,9 
27,11 
25,13 
27,9 
26,9 
26,11 
27,10 
26,11 
27,11 
27,9 
27,10 
27,8 
26,10 
28,10 
26,13 
26,9 
27,8 
27,10 
27,10 
27,9 
25,11 
27,10 
27,9 
28,11 
27,9 
27,8 
25,9 
27,9 
26,10 
27,11 
28,10 
29,10 
27,12 
27,10 
27,10 
24,11 
27,10 
27,7 
27,11 
27,10 
26,7 
27,9 
26,10 
27,9 
28,9 
27,10 
26,11 
26,10 
24,10 
27,8 
27,8 
27,14 
27,12 
27,10 
27,10 
27,11 
26,11 
26,11 
26,12 
27,11 
27,11 
27,12 
28,11 
26,10 
26,9 
27,9 
27,10 
27,11 
27,10 
26,9 
26,9 
27,11 
27,10 
27,11 
24,11 
27,10 
27,10 
27,11 
27,13 
24,9 
25,9 
26,11 
28,10 
26,10 
28,10 
27,10 
26,10 
26,9 
26,10 
27,10 
25,12 
27,10 
27,10 
27,10 
27,10 
27,10 
27,11 
27,10 
27,8 
28,10 
27,9 
29,8 
24,10 
27,10 
27,10 
27,9 
28,10 
27,9 
27,10 
27,10 
25,9 
27,10 
27,10 
27,10 
27,11 
27,10 
28,11 
25,11 
27,10 
25,9 
26,10 
27,12 
27,6 
27,10 
27,10 
25,10 
27,10 
26,9 
26,10 
27,11 
26,11 
27,8 
26,10 
26,11 
27,9 
26,12 
27,9 
27,12 
27,9 
26,11 
24,10 
28,8 
27,10 
27,10 
25,9 
28,8 
27,10 
26,10 
27,11 
27,11 
27,10 
25,9 
27,12 
25,10 
26,6 
27,10 
23,12 
27,11 
26,13 
26,11 
27,11 
27,11 
27,10 
27,11 
26,12 
27,8 
28,11 
27,12 
24,9 
27,13 
26,11 
27,11 
27,10 
29,10 
27,10 
27,10 
28,10 
27,10 
25,11 
